小区名（链家）,district,小区均价,详情链接,小区名（百度）,具体地址,lng,lat,uid（百度）
溪水花园八区,密云,14415,https://bj.lianjia.com/xiaoqu/1120020548990103/,溪水花园-八区,北京市密云区溪翁庄镇密关路溪水花园八区,116.83841601649627,40.46776828238506,5ce2637dc46f6450ae31e57f
琉璃河南街33号院,房山,14624,https://bj.lianjia.com/xiaoqu/1111059306575/,琉璃河三街,北京市房山区,116.02569405888659,39.595764847904974,7237164cf5cb2cfcc33644be
凤凰北里,房山,14627,https://bj.lianjia.com/xiaoqu/1111054847209/,凤凰亭北里,北京市房山区九渡桥北京燕化东方工贸有限公司生活小区,115.94106354696302,39.73891681250868,329ae94420cb40c8c72ba1db
南关路1号,昌平,14812,https://bj.lianjia.com/xiaoqu/1111056940294/,南关路-1号楼,北京市昌平区南环路30号,116.22467654335641,40.20951544487113,d46583e621167ca370210b5d
金鑫苑,房山,14865,https://bj.lianjia.com/xiaoqu/1111027377477/,金鑫苑小区,北京市房山区金鑫苑位于房山窦店镇瓦窑头村,116.0605817867333,39.66700288756524,4cf8d24e4f44309a9cf7792c
车站东街19号院,房山,14871,https://bj.lianjia.com/xiaoqu/1111055885670/,车站东街-19号院,北京市房山区车站东街19号,116.03895834529435,39.595679785092315,eeeb475fc5b09170990050ab
羊耳峪西区,房山,14899,https://bj.lianjia.com/xiaoqu/1111054974234/,羊耳峪西区住宅小区,北京市房山区东万路19号附近,115.95783249825818,39.761120808264714,4eb3b533d497f875430245c7
龙聚山庄,延庆,14915,https://bj.lianjia.com/xiaoqu/1111027377928/,龙聚山庄村,北京市延庆县X009(旧小路附近),115.95575506893672,40.52086098978805,4f3aef819fbe637cc7f025e5
i立方,大兴,14925,https://bj.lianjia.com/xiaoqu/1111046636826/,金隅·i立方,北京市大兴区黄村镇大庄桥北300米,116.32595363530639,39.69373633230681,dc4425729666f60d1df74d23
檀州家园东区,密云,14993,https://bj.lianjia.com/xiaoqu/1114097634069140/,檀州家园-东区,北京市密云区长安小区对面,116.83821286021949,40.366835414831996,aa40108bece0d015c4effb9a
东亚首航国际,顺义,14993,https://bj.lianjia.com/xiaoqu/1111047665744/,东亚首航国际,北京市顺义区顺畅大道14号,116.59245725019763,40.12809720134463,0d4714d568635d988bdb7331
东风东里,房山,15007,https://bj.lianjia.com/xiaoqu/1111054933698/,东风东里,北京市房山区燕山中路和双泉路交汇处西北,115.95889345731207,39.75245106961822,b88cfd63f345ff9214c8f635
北京城建北京密码,大兴,15019,https://bj.lianjia.com/xiaoqu/1111063598637/,北京城建北京密码,北京市大兴区魏善庄镇龙江路,116.39178787760876,39.68080159346258,8f812c8ed0cbc1dc32f71d19
世界名园北区,房山,15180,https://bj.lianjia.com/xiaoqu/1111046310432/,世界名园,北京市房山区汇丰街1号,116.06458466665597,39.65621234344743,cdef4edf5838f03028d7ab14
新华联YOYO新天地,平谷,15202,https://bj.lianjia.com/xiaoqu/119482522080064/,新华联YOYO新天地,金河北街17号院,117.00360446313417,40.06260104843135,f8a064e179fbbc2bd3ff23f4
檀州家园西区,密云,15317,https://bj.lianjia.com/xiaoqu/1111041799423/,檀州家园-西区,北京市密云区金地来大酒店,116.83510487712542,40.36647637244978,4e200ff0bd4bea864354d7e3
水墨林溪,房山,15356,https://bj.lianjia.com/xiaoqu/1111027379495/,水墨林溪,934路;快速直达专线154路,116.05989725886585,39.68693579229361,7b1c8950615cd9deb1077da1
明珠花园,密云,15372,https://bj.lianjia.com/xiaoqu/1113645405499617/,明珠花园,北京市密云区富民路44号,116.78571293666488,40.350601981000004,5b25f4465b627d9410293561
融科创意中心,石景山,15380,https://bj.lianjia.com/xiaoqu/1111045733133/,融科创意产业中心,北京市石景山区八角东街65幢(游乐园西南门对面),116.19948904608118,39.908958238883756,bd2904a1cc7984cf84154133
众美MIMO公馆,大兴,15517,https://bj.lianjia.com/xiaoqu/117507059420803/,众美MIMO公馆,庞各庄镇庞各庄桥西南角(庞各庄镇政府南侧),116.31663296433288,39.62952578337016,a33179a95276d936f6c59cd8
嘉诚中心,昌平,15544,https://bj.lianjia.com/xiaoqu/1111063729446/,嘉诚中心,北京市昌平区鼓楼南大街,116.22818202059794,40.21521619114759,84a64ca90f755c49e912e4e1
琥珀郡,昌平,15622,https://bj.lianjia.com/xiaoqu/1111054412147/,琥珀郡,北京市昌平区西关路20号,116.2146468269542,40.22163484956752,4fa85ce427f2e57b95ca0781
世界名园南区,房山,15622,https://bj.lianjia.com/xiaoqu/1111041179794/,世界名园,北京市房山区汇丰街1号,116.06458466665597,39.65621234344743,cdef4edf5838f03028d7ab14
华中园,顺义,15644,https://bj.lianjia.com/xiaoqu/1111027376960/,华中园,北京市顺义区滨河路向阳村段8号乡村高尔夫球场西南,116.66528550819592,40.15115240551395,8311c915765a72c2461a3266
金水家园,房山,15654,https://bj.lianjia.com/xiaoqu/1111027377355/,金水家园,北京市房山区车站前街56号,116.03749906624385,39.59557814325766,0adce3e24a40c06180a00cc7
羊耳峪南里,房山,15683,https://bj.lianjia.com/xiaoqu/1111054971898/,羊耳峪南里,燕山羊耳峪南里,115.96010508352697,39.75482409955389,94459f92d07c719fc9c3db60
羊耳峪里,房山,15711,https://bj.lianjia.com/xiaoqu/1111054944807/,羊耳峪里,北京市房山区燕山东风大街西200米,115.96348064721474,39.75830486407576,81d530de91e31a4b43ab9a97
世界名园,房山,15752,https://bj.lianjia.com/xiaoqu/118594588708113/,世界名园,北京市房山区汇丰街1号,116.06458466665597,39.65621234344743,cdef4edf5838f03028d7ab14
燕麓苑西区,房山,15767,https://bj.lianjia.com/xiaoqu/1111055103705/,燕麓苑-西区,燕麓苑西区,116.02766972085836,39.780568076604396,31ed37b0ac1ff02ad5b74e8a
碧水花园,密云,15769,https://bj.lianjia.com/xiaoqu/1120025429670370/,北京市,null,null,null,null
北京机床研究所家属楼,密云,15800,https://bj.lianjia.com/xiaoqu/1111027375897/,北京机床研究所家属区-1号楼,溪翁庄密云水库南线183号,116.8399228236772,40.47470856069866,e7afa0f7ed0c6cc216764351
东亚环球国际,通州,15850,https://bj.lianjia.com/xiaoqu/1114097982982263/,东亚·环球国际,北京市通州区台湖镇铺外四路(东亚印象台湖向西150米),116.63752961237235,39.83727477591014,85f8a7d50e8ce2e1ce04efc8
东亚华欣湾,怀柔,15872,https://bj.lianjia.com/xiaoqu/1111064050001/,东亚华欣湾,融城北路10号院,116.63288284048684,40.29620921401939,346d6b9520708f6d09b93af0
昊腾家园,房山,15892,https://bj.lianjia.com/xiaoqu/1111027375316/,昊腾家园,闫村镇星城南里,116.05331966864145,39.70400292967214,53cebd509c35aa612a02e1c7
水库管理处家属院,密云,15944,https://bj.lianjia.com/xiaoqu/11000000007894/,水库管理处家属院,北京市密云区翁庄镇水库管理处家属院,116.84355857767177,40.38100812103307,5020a0e0fee94025df1e5252
合景领峰10号院,房山,16056,https://bj.lianjia.com/xiaoqu/1120051153517604/,合景领峰10号院-一号楼,北京市房山篱笆园南路,116.17815170499667,39.76704712029136,c687d3d82d702c3dbca82272
亚新一里,房山,16086,https://bj.lianjia.com/xiaoqu/1116502468676050/,亚新一里,北京市房山区亚新一里(窦公路南90米),116.10255156587853,39.67145272203632,87c96349b52ffeb829fc4862
世界名园D区,房山,16146,https://bj.lianjia.com/xiaoqu/1111063624918/,世界名园D区枫丹郡,北京市房山区汇丰街1号院,116.06806350319833,39.65624450452253,6b8464232b3ea3120c0e6b6d
杰辉苑,房山,16225,https://bj.lianjia.com/xiaoqu/1111053996436/,杰辉苑,北京市房山区迎风南路甲6号,115.95847781678637,39.71965949134782,b703e96b46fdb3fa8f1a89c4
茶坞铁路,怀柔,16250,https://bj.lianjia.com/xiaoqu/1120025430717686/,茶坞铁路小区,北京市怀柔区桥梓,116.5490131612176,40.28084796912122,9ee7cc78f0b5bd7016c90575
金地朗悦YOYO派,房山,16259,https://bj.lianjia.com/xiaoqu/1111062811802/,金地朗悦YOYO派,北京市房山区阜盛东街60号院(房1路公交金地朗悦站北侧120米),116.18472642215733,39.73230682704477,3feb97c2a8cfc933c336448d
加州水郡Q酷,房山,16274,https://bj.lianjia.com/xiaoqu/1111027377577/,加州水郡西区(加州水郡Q酷加州水郡二期加州水郡三期加州水郡四期),北京市房山区昊天北大街48号,116.1562384115546,39.766579909707275,cfa388d88b05578b3262125d
中国铁建顺鑫汇,顺义,16283,https://bj.lianjia.com/xiaoqu/1111063604481/,中国铁建顺鑫汇,北京市顺义区顺仁路60号,116.65718723970454,40.08649137498838,b71c4a61487f8f05bd484231
加州水郡金桥国际酒店,房山,16340,https://bj.lianjia.com/xiaoqu/1111027377576/,加州水郡,北京市房山区长阳镇昊天大街48号,116.16554655231856,39.76598702579783,39d43f82780ccd86a8059dc6
万德福广场,平谷,16439,https://bj.lianjia.com/xiaoqu/1111063943210/,万德福广场,北京市平谷区岳各庄西街,117.08654930196771,40.14636813238658,e4e1389c43af8fa597ec8410
火神庙商业中心,大兴,16490,https://bj.lianjia.com/xiaoqu/1111027375279/,火神庙商业中心-停车场,北京市海淀区人民大学南路三义庙社区-西区,116.30441874352815,39.96462485241085,ce04f59fc5b8f934afee7a81
燕麓苑东区,房山,16500,https://bj.lianjia.com/xiaoqu/1111055101828/,燕麓苑-东区,燕麓苑,116.0304831906305,39.78051010435895,b41797b2c93c0329b020a812
京南嘉园,房山,16504,https://bj.lianjia.com/xiaoqu/1111027377307/,京南嘉园,北京市房山区窦店镇X009(房窑路),116.06608278781322,39.644564742783906,7d5f3a0afb60954b2cb908c7
旭辉丽舍,通州,16584,https://bj.lianjia.com/xiaoqu/1111063816287/,旭辉丽舍,北京市通州区宋庄通顺路和窑管路路口西侧,116.66088002615615,40.004658775603204,521482b0f56a4bc6deee8b96
矿机东路家属院,房山,16597,https://bj.lianjia.com/xiaoqu/1111056721060/,矿机东路小区,北京市房山区,115.99518813841013,39.68080174465343,3feb3f48de8175006cc02c64
久润花园东区,密云,16638,https://bj.lianjia.com/xiaoqu/1111048050962/,久润小区-东区,北京市密云区车站路2号,116.85774652738137,40.389527426626486,6c506c3afc3bef9df4b916dd
远大美域,密云,16793,https://bj.lianjia.com/xiaoqu/117170949394759/,远大美域,密关路36号院,116.82782201780579,40.445600142461544,5a88f8a42b77a4240482c2bd
迎风一里,房山,16813,https://bj.lianjia.com/xiaoqu/1111054881940/,迎风一里,北京市房山区燕山迎风一里,115.94728463443245,39.731720992959055,d5b14df2d81f4d452afc481b
房山区委党校小区,房山,16817,https://bj.lianjia.com/xiaoqu/1120038811492822/,房山区委,北京市房山区政通路1号,116.13698966275841,39.74661655864916,a5097bfa39225663f03cbac7
世外桃苑,平谷,16911,https://bj.lianjia.com/xiaoqu/117036239359239/,世外桃苑,北京市平谷区京东大溶洞黄松峪乡黑豆峪村佛山南街188号,117.23703528508631,40.19740570326391,f3c2373c3a832352d22dd6cc
影人峰汇,怀柔,16974,https://bj.lianjia.com/xiaoqu/11000000007249/,影人峰汇,北京市怀柔区杨宋镇中影基地东侧,116.67098089251695,40.28961502060673,dbb83d7487133069f33cbab8
北京时代广场,房山,16974,https://bj.lianjia.com/xiaoqu/1111063601560/,北京时代广场,北京市房山区良乡东区十六号路与长虹东路交汇处(良乡大学城站西200米路北),116.16774531085049,39.72323891890749,6ce549e226404a680f0a704d
绿地大兴启航国际,大兴,17000,https://bj.lianjia.com/xiaoqu/117037027101860/,大兴·绿地启航国际,北京市大兴区天华大街5号,116.3080111290716,39.68947352773862,62891caea9a85ab59ff779de
东方小区,门头沟,17007,https://bj.lianjia.com/xiaoqu/1111027376855/,门头沟东方小区,010县道,116.0063673274069,40.006050759314306,8e019da516b9ef32c5effb03
翼之城,顺义,17015,https://bj.lianjia.com/xiaoqu/1111045965578/,翼之城,北京市顺义区汇海南路1号,116.6363923742242,40.042080852885825,815e469d10fa7c08c91b95a8
金隅自由筑,通州,17025,https://bj.lianjia.com/xiaoqu/1111046557572/,金隅自由筑-一期,北京市通州区砖厂北街与迎熏东路交叉路口向南约150米,116.69566543227755,39.87608697450329,738711237d74b6ff420245e7
星悦国际,通州,17048,https://bj.lianjia.com/xiaoqu/1111047148124/,星悦国际,北京市通州区兴贸3街5号,116.57450618349738,39.76151103209477,da6875bea3005407b1077da5
东平街,房山,17056,https://bj.lianjia.com/xiaoqu/1111054844459/,东平街,北京市房山区,116.06068580620637,39.73143595546001,b087b6c8210ef240754ff169
永安家园,房山,17195,https://bj.lianjia.com/xiaoqu/1111027381492/,永安家园,北京市房山区城关街道办事处,115.97578260510289,39.69210143686905,db1f39d4285fab6ff5c59cc4
炫立方,顺义,17238,https://bj.lianjia.com/xiaoqu/1111063169387/,炫立方,北京市顺义区南法信政府府前街16号,116.60685593843968,40.115112518475534,37f77a5d01d4131229fc488d
怡和南路13号院,房山,17297,https://bj.lianjia.com/xiaoqu/1117819074070827/,怡和南路13号院,怡和南路13号院,116.20533940969324,39.756553414248806,b563066bfad4194bcae33cf0
高家坡社区,房山,17305,https://bj.lianjia.com/xiaoqu/1111054889923/,高家坡社区,北京市房山区,115.93966196738441,39.7261588369368,764672e5800be6ad94ec84c4
腾龙家园二区,房山,17352,https://bj.lianjia.com/xiaoqu/1111027379904/,腾龙家园(二区),房山阎村大窦路,116.05755467612062,39.68865452134458,874aba5abe22b402d23ce386
东风南里,房山,17417,https://bj.lianjia.com/xiaoqu/1111054939195/,东风南里,北京市房山区燕山东风街10号,115.95651127265492,39.752923264452185,8294771dfa1e97c0b6147f16
毓秀园东园,顺义,17422,https://bj.lianjia.com/xiaoqu/1111027382172/,毓秀园,北京市顺义区Y005,116.68859938517949,40.10896489101923,73844e9f97af32abf72310b2
永安小区,延庆,17522,https://bj.lianjia.com/xiaoqu/1120030633949685/,永安小区,北京市门头沟区西八里庄亮甲店1号,116.11769675189623,39.92491132673099,cb4fd146d7103d419d9d6808
房山超级蜂巢,房山,17557,https://bj.lianjia.com/xiaoqu/118436722446801/,超级蜂巢,翠柳大街和良园二路交汇处东北角,116.1188146635539,39.71283909365507,d3ab453e2951efead618b7fd
卡法国际,顺义,17565,https://bj.lianjia.com/xiaoqu/1111063658205/,田老师红烧肉(顺义卡法国际店),北京市顺义区仁和镇顺仁路57号院1号楼1层1-9号,116.65797898199929,40.08488326113295,e309d88b1428a910364aae1c
东风北里,房山,17626,https://bj.lianjia.com/xiaoqu/1111054903540/,东风北里,东风一巷与东风街交叉口西北150米,115.95524886925645,39.75721858122836,971695d30cd3dd39d23ce37a
张庄家园,顺义,17698,https://bj.lianjia.com/xiaoqu/1111027382782/,张庄家园,北京市顺义区张家庄路18号,116.66355348144751,40.2096922605228,d83adfbfeb559b5414b54bab
大雄公寓,亦庄开发区,17742,https://bj.lianjia.com/xiaoqu/1111027373967/,大雄公寓,北京市大兴区天花园二里二区20号,116.48986224562084,39.79862342725553,a5097bfa3a105763f03cbaf5
迎风二里,房山,17754,https://bj.lianjia.com/xiaoqu/1111054871232/,迎风二里,北京市房山区燕山公园迎风街,115.94814839280745,39.72847692099868,8a3af6a4a24e0bdca0acc4d8
长海御墅,房山,17799,https://bj.lianjia.com/xiaoqu/1111063836653/,长海御墅,北京市房山区长沟国家湿地公园南侧,115.89104584788485,39.58206707718973,d19fe479da5632f7e856fab5
宽沟九号院,怀柔,17826,https://bj.lianjia.com/xiaoqu/1111027377613/,玖号院,北京市怀柔区桥梓镇宽沟九号院1号,116.57909551305772,40.28976010991671,34059f97da06fc2971455bd8
迎风四里,房山,17841,https://bj.lianjia.com/xiaoqu/1111054010168/,迎风四里-19号楼,迎风派出所对面,115.95076379904665,39.72329526288614,0810ee2bf1abe5dd82a12ea7
永乐园三里,房山,17880,https://bj.lianjia.com/xiaoqu/1111055054847/,永乐园三里,北京市房山区南斜街56号附近,115.9808622400664,39.696899864050586,031b965f44df624096ca07db
红石座,昌平,17881,https://bj.lianjia.com/xiaoqu/1114191199792964/,金隅红石座,昌崔路198号,116.25991695179461,40.21775747913118,78973f0e1233b53036b06cd4
琉璃河建材学校宿舍,房山,17918,https://bj.lianjia.com/xiaoqu/1111027377967/,琉璃河建材学校宿舍,琉璃河建材学校宿舍,116.04083230301121,39.59104483034221,98e57bf60a437c23b4265596
千禧家园,房山,17971,https://bj.lianjia.com/xiaoqu/1111027378934/,千禧家园,北京市房山区八号路,116.06461895335373,39.72774724427897,a52424f7b6b5a863a11de9f9
中冀大厦,亦庄开发区,18013,https://bj.lianjia.com/xiaoqu/1111027382495/,中冀大厦,北京市大兴区亦庄开发区荣华南路16号,116.51187656902272,39.783707624964954,bb1d38e42dcf8b300c0a70e7
迎风六里三区,房山,18030,https://bj.lianjia.com/xiaoqu/1111054841554/,迎风六里-三区,北京市房山区迎风南路与燕洪路交叉路口往西约200米,115.96079003372708,39.72092980674066,42cf9c7a10b163e3fd0eb0ef
密西花园一期,密云,18057,https://bj.lianjia.com/xiaoqu/1111041203670/,密西花园小区,新北路26号,116.83526308307043,40.385132295238094,7a85d6e9775e39bfcac3dbea
迎风五里,房山,18071,https://bj.lianjia.com/xiaoqu/1111054037684/,迎风五里,北京市房山区燕山迎风南路，与岗南路路口以西路北,115.95143176363207,39.721909757697865,e344d2576c8bf751c9291513
半岛金街,房山,18073,https://bj.lianjia.com/xiaoqu/1113288586620302/,半岛金街,北京市房山区半岛广场东门,116.20657519429592,39.752549075236516,db64828cd3cfad53932ca3bc
合景领峰,房山,18116,https://bj.lianjia.com/xiaoqu/1111062903682/,合景领峰,北京市房山区京良路与长兴大街交汇处(地铁房山线篱笆房站西行500米路北),116.17764498663608,39.76652029483829,8a0833cb006cee2fc17da20c
北宅村800号,怀柔,18155,https://bj.lianjia.com/xiaoqu/1120039849878699/,北宅村,北京市怀柔区,116.55548247141681,40.337121097400804,510294cbe3dcefdf45e274ef
良工佳苑,房山,18167,https://bj.lianjia.com/xiaoqu/1111027377838/,良工.佳苑,北京市房山区城关街道农林路2号,115.98024648379779,39.689107266768865,e85e2527b9c3605395f08cc4
博世庄园,密云,18211,https://bj.lianjia.com/xiaoqu/1120025430712530/,博世庄园,北京市密云区西大桥路51号赏心悦目别墅东,116.80167074239417,40.3607630691169,3b93d7039d1630ef2b06ce2a
玻璃厂小区,昌平,18225,https://bj.lianjia.com/xiaoqu/1111027375973/,玻璃厂家属院,北京市昌平区南口镇新西广街12号楼5单元玻璃厂家属院,116.11636849055623,40.23519171694913,57dc4fb76eec99a6d13ce378
海怡庄园西区,密云,18298,https://bj.lianjia.com/xiaoqu/1120030522803366/,海怡庄园-西区,新南路海怡庄园西区,116.80672040464611,40.36314218577655,2e344e2b6f5aee02725e805c
杏花西里,房山,18363,https://bj.lianjia.com/xiaoqu/1111027380877/,杏花西里,北京市房山区迎风南路10号,115.95187757915019,39.719663261779836,d6c5d991f1cb7be830169bc4
兴房苑小区,房山,18384,https://bj.lianjia.com/xiaoqu/1111055766002/,兴房苑小区,北京市房山区兴房大街2号,115.98808164112192,39.69638321407236,e116be54c334277bc91b95c4
龙兴家园,大兴,18424,https://bj.lianjia.com/xiaoqu/1111027378142/,龙兴家园,北京市大兴区青礼路1号,116.48974037087399,39.62236787115389,d219bb1d550d448bf50e77fb
首创澜茵山三期,密云,18466,https://bj.lianjia.com/xiaoqu/1120057204493986/,首创澜茵山3期,北京市密云区Y751澜首山庄,116.8451516306515,40.41232874300125,5c358e908250fb31e8e58221
中国铁建原香漫谷,房山,18554,https://bj.lianjia.com/xiaoqu/1111055835409/,中国铁建原香漫谷,北京市房山区德润街中国铁建原香漫谷,116.0028262353889,39.71383869267658,efe1f70cf6d7af4617b54b7d
祺兴缘家园,房山,18619,https://bj.lianjia.com/xiaoqu/1111053022186/,祺兴缘家园,北京市房山区城关街道农林路6号,115.97922908578485,39.686991197190615,850815e1e183e09b43e192c4
